trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3123,False,"{'a': 0.001, 'e': 0.04406894233834353}",25,0,27.737995938692723,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
3124,False,"{'a': 0.001, 'e': 0.04402489542313335}",20,12,2.4748667600254626,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3125,False,"{'a': 0.001, 'e': 0.04398089253282229}",35,18,27.780282180037542,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3126,False,"{'a': 0.001, 'e': 0.04393693362340742}",25,12,22.351734740368574,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3127,False,"{'a': 0.001, 'e': 0.04389301865092984}",20,0,29.003979191750894,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3128,False,"{'a': 0.001, 'e': 0.04384914757147454}",20,7,25.71473591042904,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3129,False,"{'a': 0.001, 'e': 0.04380532034117049}",20,7,19.99716648186432,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3130,False,"{'a': 0.001, 'e': 0.04376153691619043}",25,0,37.564442697467,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
3131,False,"{'a': 0.001, 'e': 0.04371779725275094}",35,19,31.066955193815797,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3132,False,"{'a': 0.001, 'e': 0.04367410130711232}",20,0,31.059921312825388,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3133,False,"{'a': 0.001, 'e': 0.043630449035578674}",20,13,10.339677107651891,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3134,False,"{'a': 0.001, 'e': 0.04358684039449769}",25,12,22.976409775285084,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3135,False,"{'a': 0.001, 'e': 0.04354327534026074}",25,20,10.520580380314879,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3136,False,"{'a': 0.001, 'e': 0.04349975382930273}",20,11,17.258915077242392,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3137,False,"{'a': 0.001, 'e': 0.04345627581810221}",25,8,-10.115100524137915,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 0}",1
3138,False,"{'a': 0.001, 'e': 0.043412841263181116}",20,16,6.887818883933526,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3139,False,"{'a': 0.001, 'e': 0.04336945012110491}",25,13,16.385560907341194,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3140,False,"{'a': 0.001, 'e': 0.04332610234848241}",30,13,31.153299103247754,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3141,False,"{'a': 0.001, 'e': 0.043282797901965896}",20,0,-12.933686970041702,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3142,False,"{'a': 0.001, 'e': 0.043239536738250886}",25,11,24.531853332690044,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3143,False,"{'a': 0.001, 'e': 0.04319631881407622}",25,14,20.046407258432303,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3144,False,"{'a': 0.001, 'e': 0.043153144086223956}",30,15,24.018213570856567,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3145,False,"{'a': 0.001, 'e': 0.043110012511519386}",20,4,11.171449642849787,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
3146,False,"{'a': 0.001, 'e': 0.04306692404683092}",25,3,11.024123904957488,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
3147,False,"{'a': 0.001, 'e': 0.04302387864907009}",30,17,25.687585539980457,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3148,False,"{'a': 0.001, 'e': 0.042980876275191475}",25,3,34.317391541789036,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3149,False,"{'a': 0.001, 'e': 0.042937916882192735}",25,10,27.25864032358208,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3150,False,"{'a': 0.001, 'e': 0.04289500042711446}",30,16,3.7537605014657567,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
3151,False,"{'a': 0.001, 'e': 0.04285212686704019}",30,8,7.889125429132886,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
3152,False,"{'a': 0.001, 'e': 0.04280929615909633}",25,10,30.693239982840012,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3153,False,"{'a': 0.001, 'e': 0.04276650826045222}",25,10,23.250003508756482,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3154,False,"{'a': 0.001, 'e': 0.04272376312831993}",25,13,11.58607722443937,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
3155,False,"{'a': 0.001, 'e': 0.04268106071995433}",25,11,23.786682985346076,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3156,False,"{'a': 0.001, 'e': 0.04263840099265299}",20,1,20.160601231676722,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
3157,False,"{'a': 0.001, 'e': 0.042595783903756214}",25,20,10.13036064983336,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3158,False,"{'a': 0.001, 'e': 0.04255320941064689}",20,9,2.2840615433662137,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
3159,False,"{'a': 0.001, 'e': 0.042510677470750526}",20,16,6.969683487484222,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
3160,False,"{'a': 0.001, 'e': 0.042468188041535154}",25,14,-19.36241106630949,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
3161,False,"{'a': 0.001, 'e': 0.042425741080511385}",30,12,31.345958341883648,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3162,False,"{'a': 0.001, 'e': 0.04238333654523223}",25,13,5.011000840029302,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
3163,False,"{'a': 0.001, 'e': 0.042340974393293145}",20,4,22.69163639989938,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3164,False,"{'a': 0.001, 'e': 0.04229865458233197}",25,14,22.41794155426257,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3165,False,"{'a': 0.001, 'e': 0.042256377070028925}",25,4,32.64015366056122,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
3166,False,"{'a': 0.001, 'e': 0.042214141814106466}",20,11,2.978105385751426,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
3167,False,"{'a': 0.001, 'e': 0.04217194877232933}",25,16,15.076732851293091,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3168,False,"{'a': 0.001, 'e': 0.04212979790250448}",20,14,9.77656178009107,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3169,False,"{'a': 0.001, 'e': 0.042087689162481054}",20,10,18.15758770411099,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3170,False,"{'a': 0.001, 'e': 0.042045622510150295}",25,10,2.1895158477908834,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
3171,False,"{'a': 0.001, 'e': 0.04200359790344555}",20,12,15.939911209654877,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3172,False,"{'a': 0.001, 'e': 0.041961615300342196}",20,10,19.083517646139338,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
